quarter,pdvmil,wara,ngov,ndef,ngdp,pgdp,rgdp,rcons,rcdur,rcnd,rcsv,rcndsv,rinv,rinvfx,rnri,rres,rgov,rfed,rdef,rsl,ngdp,ncons,ncdur,ncnd,ncsv,ncndsv,ninv,ninvfx,nnri,nres,ngov,nfed,ndef,kcdur,tothours,milithours,totpop,fr25_64pop16,fr25_64pop,tothoursces,nwmfg,pman,cpi,ppi,pbus,nwbus,BAA,tb3,romerexog,amtss,amtbr,spf_rfedlag,spf_rfed0,spf_rfed1,spf_rfed2,spf_rfed3,spf_rfed4,spf_rsllag,spf_rsl0,spf_rsl1,spf_rsl2,spf_rsl3,spf_rsl4,spf_ndeflag,spf_ndef0,spf_ndef1,spf_ndef2,spf_ndef3,spf_ndef4,spf_pgdplag,spf_pgdp0,spf_pgdp1,spf_pgdp2,spf_pgdp3,spf_pgdp4
1939,0.5,.,15.18026,1.333573,89.94602,10.87490585,8.27097,8.903867,2.674537,16.17316,7.952937,.,3.871648,4.04713,3.085607,8.381926,10.29587,9.269643,3.034027,.,89.94602,65.16921,6.624545,29.84882,28.85802,58.70684,8.976779,8.593381,5.510013,3.107189,15.18026,6.163535,1.333573,3.436602,107.8455059,0.627877062,130763.25,0.684249997,0.497500002,.,0.49000001,13.46014404,13.9333334,13.26666641,.,.,5.019999981,0.029999999,.,0.025,0.050999999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1939.25,0,.,15.00454,1.449566,90.22104,10.77654748,8.37198,9.233281,2.842816,16.82255,8.047124,.,3.343956,4.166428,3.264018,8.168047,10.25256,9.446696,3.329588,.,90.22104,66.94708,7.051067,30.7919,29.20513,59.99703,7.727264,8.796206,5.796676,3.009499,15.00454,6.227458,1.449566,3.461079,108.0468908,0.635226793,131028,0.684000015,0.497999996,.,0.49000001,13.41535282,13.80000019,13.0666666,.,.,5.04333353,0.029999999,.,0.025,0.050999999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1939.5,0.7,.,14.32329,1.558493,93.70501,10.85149955,8.635213,9.300076,3.00219,16.52958,8.110264,.,4.443005,4.327064,3.506525,7.865519,9.793538,8.430821,3.59898,.,93.70501,67.91499,7.467713,31.09632,29.4451,60.54142,10.38444,9.201563,6.268948,2.923157,14.32329,5.540099,1.558493,3.490228,108.5723749,0.731298283,131301.5,0.683750033,0.49849999,.,0.486666679,13.448946,13.90000057,13.16666698,.,.,4.896666527,0.076666668,.,0.025,0.050999999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1939.75,0,.,14.69191,1.658368,94.92791,10.9391186,8.677839,9.350774,3.048456,17.01471,8.173676,.,4.221391,4.531379,3.74785,7.836507,9.926039,9.160838,3.813405,.,94.92791,68.76871,7.656674,31.46294,29.69175,61.15469,10.11151,9.808851,6.824363,2.960155,14.69191,6.068908,1.658368,3.525,110.0269909,0.827369774,131575,0.683500051,0.499000013,.,0.50999999,13.77369213,14,13.66666698,.,.,4.883333206,0.046666667,.,0.025,0.050999999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1940,0,.,14.65812,1.863518,98.23586,10.91148507,9.002978,9.486541,3.148987,17.08938,8.268688,.,5.064228,4.716776,3.885899,8.258941,10.0551,9.683177,4.399279,.,98.23586,69.60701,7.833794,31.71555,30.05914,61.77469,12.23833,10.20878,7.069982,3.124759,14.65812,6.280571,1.863518,3.568177,111.648906,0.923441264,131848.5,0.68325001,0.499500006,.,0.519999981,13.67290878,13.96666622,13.60000038,.,.,4.829999924,0.016666666,.,0.035,0.068999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1940.25,31.6,.,14.27958,1.944358,99.3306,10.96792181,9.056465,9.64829,3.294787,17.33448,8.390668,.,5.049788,4.970328,4.015147,9.183468,9.884892,9.080085,4.67625,.,99.3306,71.14532,8.229822,32.32821,30.55331,62.88152,12.34121,10.80694,7.323298,3.506438,14.27958,5.803059,1.944358,3.616542,111.5890421,1.019512754,132122,0.683000028,0.5,.,0.519999981,13.60572052,14.03333378,13.46666622,.,.,4.929999828,0.059999999,.,0.035,0.068999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1940.5,0,.,14.3077,2.018887,102.4517,10.97949863,9.331182,9.715816,3.364036,17.3607,8.378447,.,6.142463,5.314031,4.364031,9.428938,9.942092,9.194157,4.912116,.,102.4517,71.59781,8.41757,32.34559,30.83285,63.17844,15.14147,11.6013,7.970283,3.633798,14.3077,5.823552,2.018887,3.664475,114.5940014,1.604078898,132442,0.68325001,0.500750005,.,0.526666641,13.62811661,14,13.39999962,.,.,4.740000248,0.046666667,.,0.035,0.068999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1940.75,4.9,.,16.7546,4.173238,105.5818,11.0656809,9.541374,9.841354,3.432189,17.60344,8.490198,.,5.863523,5.506865,4.574923,9.500655,11.51792,12.69458,10.10435,.,105.5818,72.84987,8.718815,32.81064,31.3547,64.16534,14.67899,12.18298,8.436438,3.735005,16.7546,8.092818,4.173238,3.707,115.9211219,2.188645042,132762,0.683500051,0.50150001,.,0.543333352,13.85767841,14.03333378,13.69999981,.,.,4.496666431,0.02,.,0.035,0.068999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1941,7,.,20.0877,8.041536,113.1483,11.22281415,10.08199,10.17337,3.796737,18.29905,8.62787,.,6.210526,5.767212,4.943536,9.144988,13.61487,18.27872,19.17254,.,113.1483,76.08971,9.665225,34.41387,32.00634,66.42021,15.78702,12.95697,9.205718,3.691295,20.0877,11.79352,8.041536,3.741453,118.7265068,2.773211186,133082,0.683750033,0.502250016,.,0.556666672,14.06484318,14.13333321,13.9333334,.,.,4.393333435,0.056666665,.,0.089000002,0.126000002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1941.25,44.3,.,22.96083,11.2347,123.5212,11.53557437,10.70785,10.46932,4.235274,18.27867,8.837781,.,7.384795,6.197662,5.308119,9.900734,15.11975,21.83285,25.98996,.,123.5212,80.42867,11.05085,36.41473,32.9686,69.38333,19.40583,14.37986,10.19143,4.144532,22.96083,14.46423,11.2347,3.769077,123.2449024,3.35777733,133402,0.684000015,0.503000021,.,0.596666694,14.62474918,14.46666622,14.66666698,.,.,4.320000172,0.109999999,.,0.089000002,0.126000002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1941.5,0,.,27.79685,15.70367,130.1933,11.87931925,10.95966,10.56261,3.936767,18.75877,8.887079,.,6.651628,6.001264,4.987081,10.46885,17.7685,28.25985,35.29367,.,130.1933,83.78886,10.7556,38.97555,33.90422,72.87977,18.16269,14.43896,9.955002,4.531021,27.79685,19.22671,15.70367,3.788059,128.4092559,4.765513401,133766.5,0.684249997,0.503499985,.,0.620000005,15.3638258,14.89999962,15.5666666,.,.,4.283333302,0.116666667,.,0.089000002,0.126000002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1941.75,97,.,35.15462,22.22009,139.9371,12.18274496,11.4865,10.2307,3.307222,18.24752,9.167271,.,6.769052,5.433862,4.589262,9.133421,22.31688,38.89658,49.82383,.,139.9371,84.09274,9.728319,38.99585,35.52083,74.51668,19.04446,13.42421,9.447846,4.033152,35.15462,26.51553,22.22009,3.801,131.8937272,6.173249473,134131,0.684499979,0.504000008,.,0.649999976,15.80615234,15.39999962,16,.,.,4.313333511,0.233333334,.,0.089000002,0.126000002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
