observation_date,core_CPI_percent_change,core_CPI_annualised_percent_change,core_CPI_yearly_percent_change,core_CPI_annualised_quarterly_percent_change,10Y_Treasury_rate,log_industrial_production,PPI_commodity,3M_Treasury_rate,unemployment_rate
01/01/1913,,,,,,,,,
01/02/1913,,,,,,,,,
01/03/1913,,,,,,,,,
01/04/1913,,,,,,,,,
01/05/1913,,,,,,,,,
01/06/1913,,,,,,,,,
01/07/1913,,,,,,,,,
01/08/1913,,,,,,,,,
01/09/1913,,,,,,,,,
01/10/1913,,,,,,,,,
01/11/1913,,,,,,,,,
01/12/1913,,,,,,,,,
01/01/1914,,,,,,,-2.47934,,
01/02/1914,,,,,,,-1.66667,,
01/03/1914,,,,,,,-2.5,,
01/04/1914,,,,,,,-2.5,,
01/05/1914,,,,,,,-2.52101,,
01/06/1914,,,,,,,-2.52101,,
01/07/1914,,,,,,,-3.33333,,
01/08/1914,,,,,,,0,,
01/09/1914,,,,,,,-0.81967,,
01/10/1914,,,,,,,-4.09836,,
01/11/1914,,,,,,,-3.30579,,
01/12/1914,,,,,,,-2.52101,,
01/01/1915,,,,,,,0,,
01/02/1915,,,,,,,0,,
01/03/1915,,,,,,,0.8547,,
01/04/1915,,,,,,,0.8547,,
01/05/1915,,,,,,,2.58621,,
01/06/1915,,,,,,,1.72414,,
01/07/1915,,,,,,,2.58621,,
01/08/1915,,,,,,,-1.66667,,
01/09/1915,,,,,,,-2.47934,,
01/10/1915,,,,,,,3.4188,,
01/11/1915,,,,,,,5.12821,,
01/12/1915,,,,,,,10.34483,,
01/01/1916,,,,,,,12.71186,,
01/02/1916,,,,,,,14.40678,,
01/03/1916,,,,,,,17.79661,,
01/04/1916,,,,,,,19.49153,,
01/05/1916,,,,,,,19.32773,,
01/06/1916,,,,,,,21.18644,,
01/07/1916,,,,,,,21.0084,,
01/08/1916,,,,,,,24.57627,,
01/09/1916,,,,,,,27.11864,,
01/10/1916,,,,,,,29.75207,,
01/11/1916,,,,,,,36.58537,,
01/12/1916,,,,,,,33.59375,,
01/01/1917,,,,,,,32.33083,,
01/02/1917,,,,,,,33.33333,,
01/03/1917,,,,,,,33.09353,,
01/04/1917,,,,,,,39.71631,,
01/05/1917,,,,,,,46.47887,,
01/06/1917,,,,,,,46.85315,,
01/07/1917,,,,,,,47.22222,,
01/08/1917,,,,,,,46.2585,,
01/09/1917,,,,,,,42,,
01/10/1917,,,,,,,34.3949,,
01/11/1917,,,,,,,26.19048,,
01/12/1917,,,,,,,23.97661,,
01/01/1918,,,,,,,22.72727,,
01/02/1918,,,,,,,17.22222,,
01/03/1918,,,,,,,17.83784,,
01/04/1918,,,,,,,12.18274,,
01/05/1918,,,,,,,6.25,,
01/06/1918,,,,,,,5.71429,,
01/07/1918,,,,,,,7.07547,,
01/08/1918,,,,,,,7.90698,,
01/09/1918,,,,,,,11.26761,,
01/10/1918,,,,,,,11.37441,,
01/11/1918,,,,,,,10.84906,,
01/12/1918,,,,,,,10.84906,,
01/01/1919,,,,,,1.58215,7.40741,,
01/02/1919,,,,,,1.53695,6.16114,,
01/03/1919,,,,,,1.50763,3.66972,,
01/04/1919,,,,,,1.52532,3.61991,,
01/05/1919,,,,,,1.53115,5.42986,,
01/06/1919,,,,,,1.59315,5.40541,,
01/07/1919,,,,,,1.65152,7.04846,,
01/08/1919,,,,,,1.66686,7.32759,,
01/09/1919,,,,,,1.64635,2.53165,,
01/10/1919,,,,,,1.63592,3.82979,,
01/11/1919,,,,,,1.6201,5.95745,,
01/12/1919,,,,,,1.63592,10.6383,,
01/01/1920,,,,,,1.72599,17.24138,,
01/02/1920,,,,,,1.72599,20.98214,,
01/03/1920,,,,,,1.70667,20.79646,,
01/04/1920,,,,,,1.65152,24.45415,,
01/05/1920,,,,,,1.67697,23.60515,,
01/06/1920,,,,,,1.68695,22.64957,,
01/07/1920,,,,,,1.66176,17.69547,,
01/08/1920,,,,,,1.66686,11.64659,,
01/09/1920,,,,,,1.63067,10.28807,,
01/10/1920,,,,,,1.58766,2.04918,,
01/11/1920,,,,,,1.50165,-7.63052,,
01/12/1920,,,,,,1.43991,-20,,
01/01/1921,,,,,,1.38088,-27.94118,,
01/02/1921,,,,,,1.36039,-33.21033,,
01/03/1921,,,,,,1.33242,-35.16484,,
01/04/1921,,,,,,1.33242,-40.35088,,
01/05/1921,,,,,,1.36039,-42.36111,,
01/06/1921,,,,,,1.35346,-43.90244,,
01/07/1921,,,,,,1.34649,-43.70629,,
01/08/1921,,,,,,1.38088,-42.08633,,
01/09/1921,,,,,,1.38759,-39.92537,,
01/10/1921,,,,,,1.44626,-34.93976,,
01/11/1921,,,,,,1.43351,-29.56522,,
01/12/1921,,,,,,1.42708,-23.07692,,
01/01/1922,,,,,,1.46506,-19.89796,,
01/02/1922,,,,,,1.50763,-11.60221,,
01/03/1922,,,,,,1.55981,-9.60452,,
01/04/1922,,,,,,1.52532,-5.29412,,
01/05/1922,,,,,,1.5766,0,,
01/06/1922,,,,,,1.62541,3.10559,,
01/07/1922,,,,,,1.62541,6.21118,,
01/08/1922,,,,,,1.604,5.59006,,
01/09/1922,,,,,,1.65665,6.21118,,
01/10/1922,,,,,,1.71153,6.17284,,
01/11/1922,,,,,,1.7543,6.79012,,
01/12/1922,,,,,,1.78181,8.125,,
01/01/1923,,,,,,1.75893,12.10191,,
01/02/1923,,,,,,1.77273,11.25,,
01/03/1923,,,,,,1.8042,12.5,,
01/04/1923,,,,,,1.82608,11.18012,,
01/05/1923,,,,,,1.83898,5.42169,,
01/06/1923,,,,,,1.83039,4.21687,,
01/07/1923,,,,,,1.82174,-0.5848,,
01/08/1923,,,,,,1.8042,-0.58824,,
01/09/1923,,,,,,1.78181,0.5848,,
01/10/1923,,,,,,1.77729,-0.5814,,
01/11/1923,,,,,,1.77729,-1.7341,,
01/12/1923,,,,,,1.7543,-2.31214,,
01/01/1924,,,,,,1.77729,-2.27273,,
01/02/1924,,,,,,1.7953,-3.37079,,
01/03/1924,,,,,,1.77729,-5.55556,,
01/04/1924,,,,,,1.74495,-6.70391,,
01/05/1924,,,,,,1.70178,-5.71429,,
01/06/1924,,,,,,1.65665,-5.20231,,
01/07/1924,,,,,,1.64115,-2.94118,,
01/08/1924,,,,,,1.67697,-1.18343,,
