pi_dep,core_CPI_annualised_percent_change,unemployment_rate,10Y_Treasury_rate,3M_Treasury_rate,log_industrial_production,PPI_commodity
0.7567985999999989,8.1207912,6.4,7.96,6.44,3.866,6.36943
-1.2372594000000001,6.1347283,6.3,8.03,6.45,3.87141,6.29921
0.8433250999999995,8.1843606,6.3,8.04,6.29,3.89051,6.24025
1.1821080999999989,8.6157113,6.1,8.15,6.29,3.91017,6.31741
2.1736943,9.5875018,6.0,8.35,6.41,3.91504,6.59509
1.925901699999999,9.5693931,5.9,8.46,6.73,3.92148,7.69231
3.0440823000000004,10.7232464,6.2,8.64,7.01,3.92073,8.14132
1.7108903,9.6237288,5.9,8.41,7.08,3.92473,8.30769
4.0089494000000006,12.185544,6.0,8.42,7.85,3.92717,8.72894
2.9437742,11.5199224,5.8,8.64,7.99,3.93481,9.45122
0.02654740000000011,9.063013,5.9,8.81,8.64,3.94247,9.57447
-3.6497759999999992,5.5617488,6.0,9.01,9.08,3.94751,9.81873
-0.788371999999999,8.2696406,5.9,9.1,9.35,3.94207,10.47904
3.0625079,12.1330242,5.9,9.1,9.32,3.94697,10.96296
-0.1508687000000002,9.4204876,5.8,9.12,9.48,3.95005,11.3069
1.873694200000001,11.5488394,5.8,9.18,9.46,3.93818,11.44928
1.6397785999999996,11.5587321,5.6,9.25,9.61,3.94697,11.51079
1.7390720000000002,11.8214486,5.7,8.91,9.06,3.94713,11.42857
3.321260800000001,13.590434,5.7,8.95,9.24,3.94551,12.5
4.3667675,14.8711149,6.0,9.03,9.52,3.93897,13.06818
1.8332435,12.7690009,5.9,9.33,10.26,3.9389,13.94366
3.8798820999999997,14.8636051,6.0,10.3,11.7,3.9458,14.3454
5.944771599999999,17.2020558,5.9,10.65,11.79,3.94418,14.56311
3.146830399999999,15.0734187,6.0,10.39,12.04,3.94487,14.71802
4.323404999999999,17.0575917,6.3,10.8,12.0,3.95017,15.44715
0.21174360000000014,13.6814793,6.3,12.41,12.86,3.95054,16.02136
4.5904143999999985,18.1899071,6.3,12.75,15.2,3.94634,15.43536
2.2782064999999996,16.6098739,6.9,11.47,13.2,3.92631,14.17425
1.0772385,15.8324435,7.5,10.18,8.58,3.9015,13.93548
4.633125800000002,19.7483986,7.6,9.78,7.07,3.88851,13.71795
-20.0646067,-4.29044,7.8,10.25,8.06,3.88137,14.01515
-9.2852927,4.8481175,7.7,11.1,9.13,3.88456,14.94975
-2.6382639,10.6300956,7.5,11.51,10.27,3.90112,13.34981
1.732421800000001,14.8201744,7.5,11.75,11.62,3.91374,13.03289
1.4889142,14.573103,7.5,12.68,13.73,3.93027,12.83293
-0.04442009999999996,12.8261817,7.2,12.84,15.49,3.93685,12.47002
-3.6785818,9.0066702,7.5,12.57,15.02,3.93051,11.73709
-7.5796636,4.438437,7.4,13.19,14.79,3.92639,10.58688
-4.133771599999999,7.0954996,7.4,13.12,13.36,3.93145,10.85714
-1.2008586,9.1184829,7.2,13.68,13.69,3.92723,11.61731
4.7679832,14.4785798,7.5,14.1,16.3,3.93291,11.32503
5.1184145999999995,14.7215752,7.5,13.47,14.73,3.93811,11.04848
10.118439299999999,19.3306069,7.2,14.28,14.95,3.9446,9.63455
0.3676326000000003,11.6058629,7.4,14.94,15.51,3.94333,8.19672
3.7811675000000005,15.5999096,7.6,15.32,14.7,3.93853,7.74264
-8.6860758,3.5428879,7.9,15.15,13.54,3.93077,6.57328
-5.535343,5.7309089,8.3,13.39,10.86,3.91909,6.00858
-5.6170047,4.9070306,8.5,13.72,10.85,3.90819,5.33049
-5.356935599999999,4.4988561,8.6,14.59,12.28,3.88748,4.72689
-4.2273671,5.2424763,8.9,14.43,13.48,3.90769,3.85016
-9.8196272,-0.2797992,9.0,13.86,12.68,3.90092,2.68041
2.5433942,11.4338247,9.3,13.87,12.7,3.89164,1.63265
5.043067299999999,14.1241922,9.4,13.62,12.09,3.885,1.52594
3.4824683000000007,12.5354133,9.6,14.3,12.47,3.88242,1.52284
-1.922611700000001,6.9556238,9.8,13.95,11.35,3.87903,1.41414
-3.0433567999999998,4.8460294,9.8,13.06,8.68,3.86991,1.31313
-8.0143816,-0.6852859,10.1,12.34,7.92,3.86732,1.21457
-2.4439455000000003,3.5356227,10.4,10.91,7.71,3.85773,1.31446
-8.0454005,-2.066452,10.8,10.55,8.07,3.85456,1.51822
-12.3473755,-7.0428425,10.8,10.54,7.94,3.84741,1.72065
2.3871113,6.6357165,10.4,10.46,7.86,3.86577,0.5015
-0.006276299999999679,4.4183307,10.4,10.72,8.11,3.85964,0.7014
-1.9650651000000003,2.391151,10.3,10.51,8.35,3.86792,0.80321
1.8564616000000003,6.4427931,10.2,10.4,8.21,3.8805,0.80321
-1.3766098000000002,2.8111097,10.1,10.38,8.19,3.88664,1.002
0.3973658000000002,3.6826367,10.1,10.85,8.79,3.89271,1.0
1.7489002999999999,4.3313647,9.4,11.38,9.08,3.90749,0.89641
1.5323462,3.9026676,9.5,11.85,9.34,3.91928,1.49551
1.7305953000000005,4.0238411,9.2,11.65,9.0,3.93366,2.0
2.6586771999999996,5.3475926,8.8,11.54,8.64,3.94139,1.99601
2.8995395999999998,5.7370296,8.5,11.69,8.76,3.94586,1.79462
0.33969130000000014,3.836296,8.3,11.83,9.0,3.9508,1.79104
2.3692388000000006,6.8248157,8.0,11.67,8.9,3.97046,2.69461
0.4069086000000004,4.8779091,7.8,11.84,9.09,3.97497,2.68657
-0.5841460000000005,3.925095,7.8,12.32,9.52,3.97973,3.48606
1.7228567999999997,6.3616833,7.7,12.63,9.69,3.98571,3.58566
-1.0901826999999997,3.5419969,7.4,13.41,9.83,3.99103,3.27381
-0.06759700000000013,4.6263676,7.2,13.56,9.87,3.99466,2.9703
0.8624358000000001,5.6354824,7.5,13.36,10.12,3.99744,2.86278
0.6532488000000001,5.5348117,7.5,12.72,10.47,3.99864,1.96464
0.25531229999999994,5.2731899,7.3,12.52,10.37,3.99581,1.37255
-0.20905939999999923,4.9133513,7.4,12.16,9.74,3.9954,1.17417
-0.9657812999999997,4.1204516,7.2,11.57,8.61,3.99873,1.56709
-0.11991170000000029,4.8314881,7.3,11.5,8.06,3.99922,1.17302
-2.0559791,2.978878,7.3,11.38,7.76,3.9987,0.48591
1.9278806,6.6422904,7.2,11.51,8.27,4.00163,0.0969
0.14383549999999978,5.0039279,7.2,11.86,8.52,4.00309,-0.76997
-1.0852117,3.8651635,7.3,11.43,7.95,4.00089,-0.67308
2.1865215000000005,6.9293718,7.2,10.85,7.48,4.00259,-0.57637
-0.1781454,4.8460657,7.4,10.16,6.95,4.00206,-0.67308
