observation_date,CORESTICKM157SFRBATL,CORESTICKM158SFRBATL,CORESTICKM159SFRBATL,CORESTICKM679SFRBATL,GS10,INDPRO_LOG,PPIACO_PC1,TB3MS,UNRATE
1913-01-01,,,,,,,,,
1913-02-01,,,,,,,,,
1913-03-01,,,,,,,,,
1913-04-01,,,,,,,,,
1913-05-01,,,,,,,,,
1913-06-01,,,,,,,,,
1913-07-01,,,,,,,,,
1913-08-01,,,,,,,,,
1913-09-01,,,,,,,,,
1913-10-01,,,,,,,,,
1913-11-01,,,,,,,,,
1913-12-01,,,,,,,,,
1914-01-01,,,,,,,-2.47934,,
1914-02-01,,,,,,,-1.66667,,
1914-03-01,,,,,,,-2.50000,,
1914-04-01,,,,,,,-2.50000,,
1914-05-01,,,,,,,-2.52101,,
1914-06-01,,,,,,,-2.52101,,
1914-07-01,,,,,,,-3.33333,,
1914-08-01,,,,,,,0.00000,,
1914-09-01,,,,,,,-0.81967,,
1914-10-01,,,,,,,-4.09836,,
1914-11-01,,,,,,,-3.30579,,
1914-12-01,,,,,,,-2.52101,,
1915-01-01,,,,,,,0.00000,,
1915-02-01,,,,,,,0.00000,,
1915-03-01,,,,,,,0.85470,,
1915-04-01,,,,,,,0.85470,,
1915-05-01,,,,,,,2.58621,,
1915-06-01,,,,,,,1.72414,,
1915-07-01,,,,,,,2.58621,,
1915-08-01,,,,,,,-1.66667,,
1915-09-01,,,,,,,-2.47934,,
1915-10-01,,,,,,,3.41880,,
1915-11-01,,,,,,,5.12821,,
1915-12-01,,,,,,,10.34483,,
1916-01-01,,,,,,,12.71186,,
1916-02-01,,,,,,,14.40678,,
1916-03-01,,,,,,,17.79661,,
1916-04-01,,,,,,,19.49153,,
1916-05-01,,,,,,,19.32773,,
1916-06-01,,,,,,,21.18644,,
1916-07-01,,,,,,,21.00840,,
1916-08-01,,,,,,,24.57627,,
1916-09-01,,,,,,,27.11864,,
1916-10-01,,,,,,,29.75207,,
1916-11-01,,,,,,,36.58537,,
1916-12-01,,,,,,,33.59375,,
1917-01-01,,,,,,,32.33083,,
1917-02-01,,,,,,,33.33333,,
1917-03-01,,,,,,,33.09353,,
1917-04-01,,,,,,,39.71631,,
1917-05-01,,,,,,,46.47887,,
1917-06-01,,,,,,,46.85315,,
1917-07-01,,,,,,,47.22222,,
1917-08-01,,,,,,,46.25850,,
1917-09-01,,,,,,,42.00000,,
1917-10-01,,,,,,,34.39490,,
1917-11-01,,,,,,,26.19048,,
1917-12-01,,,,,,,23.97661,,
1918-01-01,,,,,,,22.72727,,
1918-02-01,,,,,,,17.22222,,
1918-03-01,,,,,,,17.83784,,
1918-04-01,,,,,,,12.18274,,
1918-05-01,,,,,,,6.25000,,
1918-06-01,,,,,,,5.71429,,
1918-07-01,,,,,,,7.07547,,
1918-08-01,,,,,,,7.90698,,
1918-09-01,,,,,,,11.26761,,
1918-10-01,,,,,,,11.37441,,
1918-11-01,,,,,,,10.84906,,
1918-12-01,,,,,,,10.84906,,
1919-01-01,,,,,,1.58215,7.40741,,
1919-02-01,,,,,,1.53695,6.16114,,
1919-03-01,,,,,,1.50763,3.66972,,
1919-04-01,,,,,,1.52532,3.61991,,
